AD,EUWE
AE,EUNE
AF,EUNE
AG,NA
AI,NA
AL,EUNE
AM,EUNE
AN,NA
AO,EUWE
AP,EUNE
AQ,EUNE
AR,LAS
AS,OCE
AT,EUWE
AU,OCE
AW,NA
AX,EUNE
AZ,EUNE
BA,EUNE
BB,NA
BD,EUNE
BE,EUWE
BF,EUWE
BG,EUNE
BH,EUNE
BI,EUWE
BJ,EUWE
BL,NA
BM,NA
BN,EUNE
BO,LAS
BR,BR
BS,NA
BT,EUNE
BV,LAN
BW,EUWE
BY,EUNE
BZ,LAN
CA,NA
CC,EUNE
CD,EUWE
CF,EUWE
CG,EUWE
CH,EUWE
CI,EUWE
CK,OCE
CL,LAS
CM,EUWE
CN,EUNE
CO,LAN
CR,LAN
CU,LAN
CV,EUWE
CX,EUNE
CY,EUNE
CZ,EUNE
DE,EUWE
DJ,EUWE
DK,EUWE
DM,NA
DO,LAN
DZ,EUWE
EC,LAN
EE,EUNE
EG,EUNE
EH,EUWE
ER,EUWE
ES,EUWE
ET,EUWE
EU,EU
FI,EUNE
FJ,OCE
FK,LAS
FM,OCE
FO,EUNE
FR,EUWE
FX,EUWE
GA,EUWE
GB,EUWE
GD,NA
GE,EUNE
GF,LAS
GG,EUNE
GH,EUWE
GI,EUWE
GL,NA
GM,EUWE
GN,EUWE
GP,NA
GQ,EUWE
GR,EUNE
GS,AN
GT,LAN
GU,OCE
GW,EUWE
GY,LAS
HK,EUNE
HM,AN
HN,LAN
HR,EUNE
HT,LAN
HU,EUNE
ID,EUNE
IE,EUWE
IL,EUNE
IM,EUWE
IN,EUNE
IO,EUNE
IQ,EUNE
IR,EUNE
IS,EUNE
IT,EUWE
JE,EUWE
JM,NA
JO,EUNE
JP,EUNE
KE,EUWE
KG,EUNE
KH,EUNE
KI,OCE
KM,EUWE
KN,NA
KP,EUNE
KR,KR
KW,EUNE
KY,NA
KZ,EUNE
LA,EUNE
LB,EUNE
LC,NA
LI,EUWE
LK,EUNE
LR,EUWE
LS,EUWE
LT,EUNE
LU,EUWE
LV,EUNE
LY,EUWE
MA,EUWE
MC,EUWE
MD,EUNE
ME,EUNE
MF,NA
MG,EUWE
MH,OCE
MK,EUNE
ML,EUWE
MM,EUNE
MN,EUNE
MO,EUNE
MP,OCE
MQ,NA
MR,EUWE
MS,NA
MT,EUWE
MU,EUWE
MV,EUNE
MW,EUWE
MX,LAN
MY,EUNE
MZ,EUWE
NA,EUWE
NC,OCE
NE,EUWE
NF,OCE
NG,EUWE
NI,LAN
NL,EUWE
NO,EUNE
NP,EUNE
NR,OCE
NU,OCE
NZ,OCE
OM,EUNE
PA,LAN
PE,LAN
PF,OCE
PG,OCE
PH,EUNE
PK,EUNE
PL,EUNE
PM,NA
PN,OCE
PR,LAN
PS,EUNE
PT,EUWE
PW,OCE
PY,LAS
QA,EUNE
RE,EUWE
RO,EUNE
RS,RU
RU,RU
RW,EUWE
SA,EUNE
SB,OCE
SC,EUWE
SD,EUWE
SE,EUNE
SG,EUNE
SH,EUWE
SI,EUNE
SJ,EUNE
SK,EUNE
SL,EUWE
SM,EU
SN,EUWE
SO,EUWE
SR,EUNE
ST,EUWE
SV,LAN
SY,EUNE
SZ,EUWE
TC,NA
TD,EUWE
TF,AN
TG,EUWE
TH,EUNE
TJ,EUNE
TK,OCE
TL,EUNE
TM,EUNE
TN,EUWE
TO,OCE
TR,TR
TT,NA
TV,OCE
TW,EUNE
TZ,EUWE
UA,EUNE
UG,EUWE
UM,OCE
US,NA
UY,LAS
UZ,EUNE
VA,EUWE
VC,NA
VE,LAN
VG,NA
VI,NA
VN,EUNE
VU,OCE
WF,OCE
WS,OCE
YE,EUNE
YT,EUWE
ZA,EUWE
ZM,EUWE
ZW,EUWE
